สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
   1.1.17 ครั่ง,76.0,113.9,57.5,63.2,-4.78,49.79,64.71,9.91,0.00,0.00,0.00,0.00
   1.1.18 ฝ้าย,331.7,232.9,94.7,74.2,16.40,-29.78,-39.72,-21.66,0.00,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,"4,840.0","5,486.2","2,159.6","2,281.8",-8.71,13.35,5.31,5.66,0.06,0.07,0.07,0.07
  1.2 สินค้าประมง,"71,515.1","63,393.4","24,826.3","22,063.6",0.99,-11.36,-8.29,-11.13,0.89,0.78,0.75,0.69
   1.2.1 กุ้ง,"38,148.7","33,164.1","11,830.5","10,691.1",3.42,-13.07,-8.39,-9.63,0.48,0.41,0.36,0.33
    (1) กุ้งสด แช่เย็น แช่แข็ง,"33,446.8","24,662.2","8,645.0","7,554.9",-1.94,-26.26,-25.67,-12.61,0.42,0.30,0.26,0.24
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,"1,001.6",753.1,243.1,245.0,-43.68,-24.81,-50.76,0.78,0.01,0.01,0.01,0.01
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,463.2,506.2,159.0,173.4,-5.12,9.28,-40.95,9.05,0.01,0.01,0.00,0.01
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,"31,981.9","23,402.9","8,242.8","7,136.5",0.44,-26.82,-24.15,-13.42,0.40,0.29,0.25,0.22
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,0.0,0.1,0.0,0.1,-99.99,191.58,-70.89,"1,011.59",0.00,0.00,0.00,0.00
    (3) กุ้งต้มสุกแช่เย็น,"1,997.5","5,094.5","1,620.8","1,133.2",,155.05,,-30.09,0.02,0.06,0.05,0.04
    (4) กุ้งอื่น ๆ,"2,704.4","3,407.2","1,564.7","2,003.0",13.23,25.99,21.93,28.01,0.03,0.04,0.05,0.06
   1.2.2 ปลาหมึก,"12,006.9","10,950.2","4,867.4","4,167.2",16.49,-8.80,-8.59,-14.38,0.15,0.14,0.15,0.13
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,"11,738.3","10,594.3","4,719.1","4,118.1",17.19,-9.75,-9.44,-12.74,0.15,0.13,0.14,0.13
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,268.6,355.8,148.2,49.2,-7.63,32.48,30.74,-66.83,0.00,0.00,0.00,0.00
   1.2.3 ปลา,"18,897.5","17,433.9","7,473.7","6,376.9",-7.06,-7.75,-5.91,-14.68,0.24,0.22,0.23,0.20
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,"8,443.2","8,263.5","3,429.7","3,120.8",-14.91,-2.13,-3.24,-9.01,0.11,0.10,0.10,0.10
    (2) ปลาสด แช่เย็น แช่แข็ง,"6,504.7","5,651.3","2,526.9","2,007.6",11.49,-13.12,-1.88,-20.55,0.08,0.07,0.08,0.06
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),"3,072.5","2,557.2","1,090.0",870.3,-16.96,-16.77,-25.95,-20.16,0.04,0.03,0.03,0.03
    (4) ปลามีชีวิต และพันธุ์ปลา,877.1,961.9,427.1,378.2,0.21,9.66,21.71,-11.44,0.01,0.01,0.01,0.01
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,"1,255.3","1,144.9",374.3,423.8,-60.02,-8.79,6.56,13.22,0.02,0.01,0.01,0.01
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,877.3,726.7,226.3,293.4,10.16,-17.16,-14.21,29.65,0.01,0.01,0.01,0.01
    (2) หอย มีชีวิต สด แช่เย็น แช่แข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน ,304.6,337.5,113.5,91.8,-85.73,10.80,76.72,-19.10,0.00,0.00,0.00,0.00
    (3) สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ อื่น ๆ  ,73.4,80.7,34.5,38.6,-64.82,9.96,48.51,11.77,0.00,0.00,0.00,0.00
   1.2.5 แมงกะพรุน,631.5,479.5,162.1,310.3,"116,711.12",-24.07,-33.93,91.46,0.01,0.01,0.00,0.01
   1.2.6 ตะพาบน้ำ,7.7,3.7,2.2,1.4,-53.64,-52.42,-50.22,-39.22,0.00,0.00,0.00,0.00
   1.2.7 กบ,29.3,38.0,11.7,17.1,-36.37,30.00,37.93,45.92,0.00,0.00,0.00,0.00
   1.2.8  ประมงอื่น ๆ,538.2,179.1,104.4,75.7,533.16,-66.71,-62.77,-27.41,0.01,0.00,0.00,0.00
  1.3 ปศุสัตว์,"112,260.7","125,610.3","48,050.7","51,799.2",4.69,11.89,8.63,7.80,1.40,1.55,1.46,1.62
   1.3.1 ไก่,"96,024.7","100,398.4","38,356.9","42,733.8",7.76,4.55,2.67,11.41,1.20,1.24,1.16,1.33
    (1) ไก่สดแช่เย็นแช่แข็ง,"19,909.6","22,382.1","8,962.3","9,498.8",13.24,12.42,23.17,5.99,0.25,0.28,0.27,0.30
    (2) ไก่แปรรูป,"76,115.1","78,016.4","29,394.6","33,235.0",6.41,2.50,-2.29,13.07,0.95,0.96,0.89,1.04
   1.3.2 เป็ดสดแช่เย็นแช่แข็ง,654.9,702.1,247.0,217.5,24.41,7.20,28.39,-11.97,0.01,0.01,0.01,0.01
   1.3.3 สุกรสดแช่เย็นแช่แข็ง,301.5,478.6,179.1,175.5,12.20,58.71,12.66,-1.98,0.00,0.01,0.01,0.01
   1.3.4 กระดูกสัตว์และขนสัตว์ปีก,763.6,"1,013.2",368.6,391.8,28.91,32.68,26.42,6.27,0.01,0.01,0.01,0.01
   1.3.5 ไข่ไก่สด(พันฟอง),431.6,997.3,358.2,431.6,-0.72,131.06,208.87,20.50,0.01,0.01,0.01,0.01
   1.3.6 เนื้อและส่วนต่าง ๆ ของสัตว์ที่บริโภคได้,"6,005.5","10,121.8","4,241.8","2,684.6",-10.15,68.54,73.70,-36.71,0.08,0.12,0.13,0.08
   1.3.7 สินค้าปศุสัตว์อื่น ๆ,"8,078.9","11,898.9","4,299.0","5,164.5",-15.93,47.28,17.02,20.13,0.10,0.15,0.13,0.16
 2. สินค้าอุตสาหกรรมการเกษตร,"577,298.6","584,834.4","238,553.2","236,775.5",-4.25,1.31,-0.99,-0.75,7.21,7.21,7.24,7.39
  2.1  อาหารทะเลกระป๋องและแปรรูป,"126,823.7","124,927.8","47,123.0","48,731.8",0.22,-1.49,-4.43,3.41,1.58,1.54,1.43,1.52
   2.1.1 อาหารทะเลกระป๋อง,"89,790.9","93,709.3","35,364.7","37,596.3",11.56,4.36,-0.48,6.31,1.12,1.16,1.07,1.17
    (1)  ทูน่ากระป๋อง,"69,894.3","72,638.1","27,783.8","28,646.5",1.42,3.93,-2.32,3.10,0.87,0.90,0.84,0.89
    (2)  ซาร์ดีนกระป๋อง,"3,655.1","4,601.9","1,557.9","1,865.9",-11.77,25.91,14.95,19.77,0.05,0.06,0.05,0.06
    (3)  ปูกระป๋อง,723.6,691.8,190.2,211.1,-34.74,-4.38,-24.27,11.01,0.01,0.01,0.01,0.01
    (4)  กุ้งกระป๋อง,"8,821.2","7,891.9","2,941.2","2,698.5",39.59,-10.53,2.92,-8.25,0.11,0.10,0.09,0.08
    (5) หอยลายกระป๋อง(เมตริกตัน),,,,,,,,,,,,
    (6) ปลาหมึกกระป๋อง,83.9,58.9,14.2,13.7,,-29.82,-68.41,-3.51,0.00,0.00,0.00,0.00
    (7) อาหารทะเลกระป๋องอื่น ๆ,"6,612.8","7,826.5","2,877.4","4,160.6",,18.35,11.54,44.59,0.08,0.10,0.09,0.13
   2.1.2 อาหารทะเลแปรรูป,"37,032.8","31,218.5","11,758.3","11,135.5",-19.58,-15.70,-14.63,-5.30,0.46,0.39,0.36,0.35
    (1) กุ้งแปรรูป,"23,448.8","17,856.5","6,603.8","6,146.1",-8.55,-23.85,-23.84,-6.93,0.29,0.22,0.20,0.19
    (2) ปลาหมึกแปรรูป,"1,717.4","1,911.4",699.8,762.4,2.35,11.30,10.73,8.94,0.02,0.02,0.02,0.02
    (3) ปูแปรรูป,419.1,370.9,163.6,88.6,323.58,-11.48,20.47,-45.81,0.01,0.00,0.00,0.00
    (4) ปลาแปรรูป,"10,685.1","10,428.4","4,009.1","3,903.8",-38.55,-2.40,-0.36,-2.63,0.13,0.13,0.12,0.12
     (4.1) ปลาทูน่า แปรรูป,554.6,347.8,68.8,127.8,-55.24,-37.30,-72.71,85.69,0.01,0.00,0.00,0.00
     (4.2) ปลาอื่น ๆ แปรรูป,"10,130.4","10,080.7","3,940.3","3,775.9",-37.27,-0.49,4.48,-4.17,0.13,0.12,0.12,0.12
    (5) สัตว์น้ำประเภทครัสตาเซีย แปรรูป,18.1,2.0,1.2,,-15.24,-88.97,-86.08,,0.00,0.00,0.00,
    (6) หอยลาย แปรรูป,124.8,110.5,44.0,49.2,-30.94,-11.47,-27.13,11.78,0.00,0.00,0.00,0.00
    (7)  อาหารทะเลแปรรูปอื่น ๆ,619.6,538.8,236.8,185.4,-40.63,-13.05,-2.49,-21.69,0.01,0.01,0.01,0.01
  2.2 น้ำตาลทรายและกากน้ำตาล,"93,851.0","98,570.3","41,653.6","33,140.5",8.06,5.03,-11.44,-20.44,1.17,1.22,1.26,1.03
   2.2.1 น้ำตาลทราย,"93,239.9","97,692.3","41,306.4","32,059.8",9.41,4.78,-11.31,-22.39,1.16,1.20,1.25,1.00
    (1) น้ำตาลทรายดิบ,"40,929.8","50,922.3","23,471.6","20,087.9",2.67,24.41,-1.08,-14.42,0.51,0.63,0.71,0.63
    (2) น้ำตาลทรายขาว,"52,310.1","46,770.0","17,834.8","11,971.9",15.33,-10.59,-21.94,-32.87,0.65,0.58,0.54,0.37
    (3) น้ำตาลอื่น ๆ(เมตริกตัน),,,,,,,,,,,,
   2.2.2 กากน้ำตาล,611.0,878.0,347.2,"1,080.7",-62.50,43.70,-24.37,211.28,0.01,0.01,0.01,0.03
  2.3 ผลไม้กระป๋องและแปรรูป,"65,885.7","54,941.8","22,739.5","21,409.5",-7.69,-16.61,-21.78,-5.85,0.82,0.68,0.69,0.67
   2.3.1 ผลไม้กระป๋อง,"18,552.9","13,899.1","5,707.8","5,013.6",-37.13,-25.08,-35.02,-12.16,0.23,0.17,0.17,0.16
    (1) สับปะรดกระป๋อง,"12,538.4","8,258.2","3,484.3","2,772.5",-38.53,-34.14,-46.48,-20.43,0.16,0.10,0.11,0.09
    (2) เงาะและเงาะสอดไส้สับปะรด,332.4,379.6,130.7,125.1,-27.34,14.22,13.71,-4.27,0.00,0.00,0.00,0.00
    (3) ลิ้นจี่กระป๋อง,217.1,235.4,39.9,35.1,-15.13,8.42,-32.55,-12.02,0.00,0.00,0.00,0.00
    (4) ลำไยกระป๋อง,515.7,565.1,139.1,155.6,-8.87,9.57,-11.78,11.87,0.01,0.01,0.00,0.00
    (5) มะม่วงกระป๋อง,"1,215.8","1,371.7",582.5,524.8,-13.66,12.82,16.96,-9.90,0.02,0.02,0.02,0.02
    (6) ผลไม้รวมกระป๋อง,"2,834.0","2,342.6","1,045.9","1,095.2",-7.16,-17.34,-1.53,4.72,0.04,0.03,0.03,0.03
    (7) ผลไม้กระป๋องอื่น ๆ,899.7,746.6,285.3,305.2,-73.35,-17.01,-25.17,6.96,0.01,0.01,0.01,0.01
   2.3.2 น้ำผลไม้,"22,296.3","19,022.0","8,315.1","7,850.4",-14.41,-14.69,-13.81,-5.59,0.28,0.23,0.25,0.24
    (1) น้ำสับปะรด,"4,684.1","3,601.0","1,649.9","1,379.9",-27.56,-23.12,-23.68,-16.36,0.06,0.04,0.05,0.04
    (2) น้ำส้มชนิดออเร้นจ์,922.2,811.6,345.2,344.0,-32.12,-11.99,-17.57,-0.33,0.01,0.01,0.01,0.01
    (3) น้ำผลไม้ผสม,"2,119.3","2,229.3","1,011.3","1,345.2",-4.21,5.19,20.43,33.02,0.03,0.03,0.03,0.04
    (4) น้ำผลไม้อื่น ๆ,"14,570.7","12,380.1","5,308.8","4,781.2",-9.02,-15.03,-14.74,-9.94,0.18,0.15,0.16,0.15
   2.3.3 ผลไม้แปรรูป,"25,036.5","22,020.7","8,716.7","8,545.5",58.35,-12.05,-18.08,-1.96,0.31,0.27,0.26,0.27
    (1) สับปะรดแปรรูป,"9,524.3","6,816.7","2,772.0","2,584.3",258.61,-28.43,-38.07,-6.77,0.12,0.08,0.08,0.08
    (2) ส้มแปรรูป,840.0,849.9,325.4,437.7,-38.23,1.18,-5.62,34.50,0.01,0.01,0.01,0.01
    (3) ผลไม้แปรรูปอื่น ๆ,"14,672.3","14,354.1","5,619.3","5,523.6",24.40,-2.17,-3.44,-1.70,0.18,0.18,0.17,0.17
  2.4 ผักกระป๋อง และผักแปรรูป,"11,824.5","13,674.3","5,023.4","5,975.0",-2.72,15.64,-0.90,18.94,0.15,0.17,0.15,0.19
   (1) ข้าวโพดฝักอ่อนกระป๋อง,932.5,884.7,407.3,323.3,-4.53,-5.13,-2.30,-20.63,0.01,0.01,0.01,0.01
   (2) ข้าวโพดหวานกระป๋อง แปรรูป,"6,638.7","6,862.3","2,860.9","2,583.8",-4.25,3.37,-0.05,-9.69,0.08,0.08,0.09,0.08
   (3) หน่อไม้กระป๋อง แปรรูป,403.2,416.6,149.7,161.6,-14.27,3.31,-1.39,7.96,0.01,0.01,0.00,0.01
   (4) มะเขือเทศแปรรูป,42.7,49.8,22.6,21.1,6.21,16.81,20.26,-6.57,0.00,0.00,0.00,0.00
   (5) เห็ดแปรรูป,57.8,81.7,13.7,50.9,8.37,41.35,-47.31,271.23,0.00,0.00,0.00,0.00
   (6) พืชผักดองด้วยน้ำส้ม,405.7,444.8,207.8,187.1,-16.29,9.63,2.44,-9.96,0.01,0.01,0.01,0.01
   (7) ผักกระป๋องและผักแปรรูปอื่น ๆ ,"3,343.9","4,934.5","1,361.5","2,647.3",4.62,47.57,-2.11,94.43,0.04,0.06,0.04,0.08
  2.5 ผลิตภัณฑ์ข้าว,"10,474.4","10,700.8","4,280.3","4,216.1",0.97,2.16,4.18,-1.50,0.13,0.13,0.13,0.13
   2.5.1 แป้งข้าวเจ้า,"1,063.8","1,263.7",468.8,584.6,-2.15,18.79,18.85,24.70,0.01,0.02,0.01,0.02
   2.5.2 แป้งข้าวเหนียว,"2,714.7","2,919.8","1,179.8","1,225.0",-4.98,7.55,10.88,3.83,0.03,0.04,0.04,0.04
   2.5.3 เส้นหมี่ก๋วยเตี๋ยว,"2,136.9","2,211.0",912.3,841.2,-1.48,3.47,7.60,-7.80,0.03,0.03,0.03,0.03
   2.5.4 ขนมปังกรอบ,"4,559.0","4,306.4","1,719.4","1,565.3",7.00,-5.54,-4.59,-8.96,0.06,0.05,0.05,0.05
  2.6 ผลิตภัณฑ์ข้าวสาลีและอาหารสำเร็จรูปอื่น ๆ,"65,015.0","65,199.5","25,765.1","28,478.5",31.64,0.28,1.29,10.53,0.81,0.80,0.78,0.89
   2.6.1 บะหมี่กึ่งสำเร็จรูปและอาหารสำเร็จ,"42,638.7","41,144.9","16,796.6","18,223.7",8.25,-3.50,1.23,8.50,0.53,0.51,0.51,0.57
   2.6.2 ผลิตภัณฑ์ข้าวสาลีอื่น ๆ,"22,376.3","24,054.6","8,968.5","10,254.8",123.74,7.50,1.42,14.34,0.28,0.30,0.27,0.32
    (1) บิสกิต แวฟเฟิล และเวเฟอร์,"4,404.3","4,502.0","1,635.7","1,968.9",13.21,2.22,2.81,20.38,0.06,0.06,0.05,0.06
    (2) แป้งสาลี,398.9,325.2,141.1,136.6,-20.76,-18.48,-7.44,-3.23,0.00,0.00,0.00,0.00
    (3) ผลิตภัณฑ์อื่น ๆ ของข้าวสาลี,"17,573.1","19,227.4","7,191.7","8,149.3",213.41,9.41,1.30,13.32,0.22,0.24,0.22,0.25
  2.7 อาหารสัตว์เลี้ยง,"47,988.3","52,096.7","20,287.1","21,769.0",7.99,8.56,2.40,7.30,0.60,0.64,0.62,0.68
   2.7.1 อาหารสุนัขและแมว,"38,156.8","42,600.3","16,358.6","17,888.9",7.52,11.65,5.51,9.35,0.48,0.53,0.50,0.56
   2.7.2 อาหารสัตว์อื่น ๆ,"9,831.5","9,496.4","3,928.5","3,880.2",9.81,-3.41,-8.77,-1.23,0.12,0.12,0.12,0.12
  2.8 สิ่งปรุงรสอาหาร,"22,179.2","23,722.6","9,206.4","9,899.2",6.69,6.96,3.55,7.53,0.28,0.29,0.28,0.31
   2.8.1 ซอส,"3,631.4","4,080.5","1,592.1","1,724.8",12.02,12.37,11.39,8.33,0.05,0.05,0.05,0.05
    (1) ซอสพริก,"2,400.1","2,802.4","1,097.2","1,173.1",10.98,16.76,16.37,6.92,0.03,0.03,0.03,0.04
    (2) ซอสถั่วเหลือง,910.9,"1,000.8",378.1,434.2,8.58,9.87,7.42,14.83,0.01,0.01,0.01,0.01
    (3) ซอสมะเขือเทศ,320.4,277.3,116.8,117.5,33.39,-13.44,-13.13,0.58,0.00,0.00,0.00,0.00
   2.8.2 น้ำปลา,"1,877.6","1,918.5",724.1,856.4,-0.01,2.18,1.18,18.28,0.02,0.02,0.02,0.03
   2.8.3 เครื่องแกงสำเร็จรูป,"2,009.6","2,332.7",851.2,895.7,11.81,16.07,9.14,5.23,0.03,0.03,0.03,0.03
   2.8.4 ผงปรุงรส,"5,519.6","6,145.8","2,406.1","2,434.3",79.16,11.35,8.44,1.17,0.07,0.08,0.07,0.08
   2.8.5 สิ่งปรุงรสอื่น ๆ(เมตริกตัน),"9,140.9","9,245.1","3,632.9","3,988.1",-15.29,1.14,-3.04,9.78,0.11,0.11,0.11,0.12
  2.9 นมและผลิตภัณฑ์นม,"7,506.6","7,741.6","3,055.1","3,394.4",5.38,3.13,3.27,11.11,0.09,0.10,0.09,0.11
  2.10 หมากฝรั่งและขนมที่ไม่มีโกโก้ผสม,"5,912.2","6,024.6","2,323.3","2,527.4",-0.73,1.90,0.18,8.79,0.07,0.07,0.07,0.08
  2.11 เครื่องดื่ม,"55,270.6","60,841.7","25,111.5","27,622.3",2.96,10.08,7.48,10.00,0.69,0.75,0.76,0.86
   2.11.1 เครื่องดื่มที่ไม่มีแอลกอฮอส์,"44,281.7","47,172.4","19,290.6","21,039.0",9.44,6.53,4.67,9.06,0.55,0.58,0.59,0.66
    (1) น้ำแร่น้ำอัดลมที่ปรุงรส(พันลิตร),"1,578.0","1,633.6",776.6,966.4,-40.37,3.52,-6.81,24.44,0.02,0.02,0.02,0.03
    (2) เครื่องดื่มอื่น ๆ (พันลิตร),"42,305.9","45,170.2","18,366.6","19,860.2",13.13,6.77,5.43,8.13,0.53,0.56,0.56,0.62
    (3) เครื่องดื่มที่ไม่มีแอลกอฮอล์อื่น ๆ(พันลิตร),397.9,368.7,147.5,212.4,-5.27,-7.35,-16.32,44.04,0.00,0.00,0.00,0.01
   2.11.2 เครื่องดื่มที่มีแอลกอฮอส์(พันลิตร),"10,988.9","13,669.3","5,820.9","6,583.3",-16.87,24.39,18.01,13.10,0.14,0.17,0.18,0.21
    (1) วิสกี้(พันลิตร),"2,372.8","3,502.1","1,589.5","1,748.4",-13.89,47.59,41.48,10.00,0.03,0.04,0.05,0.05
    (2) ไวน์(พันลิตร),922.2,"1,627.9",802.4,709.6,-12.45,76.53,95.06,-11.57,0.01,0.02,0.02,0.02
    (3) เบียร์(พันลิตร),"4,838.5","3,978.4","1,839.1","1,859.9",-26.17,-17.78,-22.62,1.13,0.06,0.05,0.06,0.06
    (4) เครื่องดื่มที่มีแอลกอฮอส์อื่น ๆ(พันลิตร),"2,855.5","4,561.0","1,589.9","2,265.5",-0.02,59.73,55.67,42.49,0.04,0.06,0.05,0.07
  2.12 ซุปและอาหารปรุงแต่ง,"2,403.6","2,060.3",908.8,849.4,-12.78,-14.28,-22.36,-6.54,0.03,0.03,0.03,0.03
   2.12.1 ซุปและซุปข้นและของปรุงแต่งสำหรับทำซุป,"1,723.4","1,305.2",595.2,580.9,-12.52,-24.26,-33.48,-2.40,0.02,0.02,0.02,0.02
   2.12.2 อาหารปรุงแต่งที่มีส่วนผสมรวมเข้าเป็นเนื้อเดียวกัน,680.2,755.1,313.6,268.5,-13.41,11.01,13.72,-14.39,0.01,0.01,0.01,0.01
  2.13 ไขมันและน้ำมันจากพืชและสัตว์,"18,820.3","18,253.2","11,232.1","7,976.8",75.92,-3.01,168.90,-28.98,0.24,0.23,0.34,0.25
   (1) น้ำมันปาล์ม,"11,717.2","10,772.0","8,138.8","4,679.9",150.40,-8.07,446.90,-42.50,0.15,0.13,0.25,0.15
   (2) น้ำมันถั่วเหลือง,"2,189.2","2,676.0","1,117.8","1,012.9",27.09,22.24,48.18,-9.38,0.03,0.03,0.03,0.03
   (3) ไขมันและน้ำมันจากพืชและสัตว์อื่น ๆ,"4,913.9","4,805.2","1,975.6","2,284.0",14.38,-2.21,2.12,15.61,0.06,0.06,0.06,0.07
  2.14 เนื้อสัตว์และของปรุงแต่งที่ทำจากเนื้อสัตว์,"10,482.2","10,040.9","4,069.7","4,154.1",-1.27,-4.21,-2.19,2.07,0.13,0.12,0.12,0.13
  2.15 โกโก้และของปรุงแต่ง,"1,148.5","2,241.5",917.3,"1,272.3",-27.04,95.16,108.04,38.70,0.01,0.03,0.03,0.04
  2.16 ไอศกรีม,"2,486.7","2,751.5","1,204.8","1,267.0",16.13,10.65,12.89,5.16,0.03,0.03,0.04,0.04
  2.17 สินค้าอุตสาหกรรมการเกษตรอื่น ๆ,"29,226.1","31,045.4","13,652.2","14,092.0",-66.20,6.22,8.74,3.22,0.37,0.38,0.41,0.44
 3. สินค้าอุตสาหกรรม,"6,359,186.0","6,422,726.6","2,616,873.9","2,544,061.1",5.46,1.00,1.85,-2.78,79.43,79.21,79.47,79.39
