สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
    (2) ส่วนประกอบรถจักรยานยนต์,"24,817.9","24,554.2","9,801.6","10,293.8",16.06,-1.06,-1.88,5.02,0.31,0.30,0.30,0.32
     (2.1) ชิ้นส่วนครบชุดสมบูรณ์,"6,042.8","4,182.2","1,548.1","1,751.8",38.22,-30.79,-34.69,13.15,0.08,0.05,0.05,0.05
     (2.2) ส่วนประกอบรถจักรยานยนต์อื่น ๆ,"18,775.1","20,372.0","8,253.4","8,542.0",10.36,8.51,8.33,3.50,0.23,0.25,0.25,0.27
   3.21.3 รถจักรยานและส่วนประกอบ,"2,889.5","2,348.1",937.5,976.4,-4.43,-18.74,-18.62,4.14,0.04,0.03,0.03,0.03
    (1) รถจักรยาน(พันคัน),"1,747.1","1,317.1",529.0,575.4,-1.58,-24.61,-20.20,8.78,0.02,0.02,0.02,0.02
    (2) ส่วนประกอบรถจักรยาน,"1,142.4","1,031.0",408.5,401.0,-8.48,-9.76,-16.49,-1.86,0.01,0.01,0.01,0.01
   3.21.4 เครื่องยนต์สันดาปภายในแบบลูกสูบและส่วนประกอบ,"146,132.2","168,465.5","72,685.8","60,171.0",14.06,15.28,22.44,-17.22,1.83,2.08,2.21,1.88
   3.21.5 เครื่องอุปกรณ์ไฟฟ้าสำหรับจุดระเบิดเครื่องยนต์ และส่วนประกอบ,"12,884.1","14,394.3","6,081.0","6,128.6",8.07,11.72,19.01,0.78,0.16,0.18,0.18,0.19
   3.21.6 ยานพาหนะอื่น ๆ และส่วนประกอบ,"14,420.2","24,546.7","15,711.6","7,615.8",5.58,70.22,147.92,-51.53,0.18,0.30,0.48,0.24
  3.22 ของเล่น,"6,835.6","7,222.3","2,450.4","2,861.8",-8.33,5.66,-14.09,16.79,0.09,0.09,0.07,0.09
   3.22.1 ของเล่นที่มีล้อ,57.5,87.6,35.8,29.4,-37.27,52.21,68.96,-17.90,0.00,0.00,0.00,0.00
   3.22.2 ตุ๊กตารูปคนและสัตว์,525.0,409.5,164.4,144.0,-8.40,-21.99,-29.37,-12.42,0.01,0.01,0.00,0.00
   3.22.3 ของเล่นอื่น ๆ,"6,253.1","6,725.2","2,250.1","2,688.4",-7.93,7.55,-13.40,19.48,0.08,0.08,0.07,0.08
  3.23 เครื่องกีฬาและเครื่องเล่มเกม,"16,216.6","16,044.6","6,705.7","6,593.5",-0.20,-1.06,-0.44,-1.67,0.20,0.20,0.20,0.21
   3.23.1 เครื่องกีฬาและเครื่องเล่นเกมสำหรับเล่นในห้อง (บิลเลียด วิดีโอเกม ไพ่ ฯลฯ),142.8,144.8,45.7,39.0,11.70,1.38,6.17,-14.65,0.00,0.00,0.00,0.00
   3.23.2 เครื่องกีฬาสำหรับเล่นกลางแจ้ง (สกี แบดมินตัน กอล์ฟ  เทนนิส ฯลฯ),"14,116.8","13,920.1","5,942.4","5,802.0",-1.49,-1.39,0.34,-2.36,0.18,0.17,0.18,0.18
   3.23.3 อุปกรณ์สำหรับตกปลาและล่าสัตว์อื่น ๆ,"1,957.1","1,979.7",717.5,752.4,9.24,1.16,-6.84,4.86,0.02,0.02,0.02,0.02
  3.24 ประทีปโคมไฟ,"3,226.4","2,558.0","1,061.9","1,013.0",-1.00,-20.72,-17.37,-4.61,0.04,0.03,0.03,0.03
  3.25 ของใช้ในเทศกาลและงานรื่นเริง,"1,462.6","1,583.4",385.0,418.2,-8.03,8.26,12.07,8.62,0.02,0.02,0.01,0.01
   3.25.1 ของใช้ในเทศกาลคริสต์มาส,"1,150.7","1,245.4",292.3,280.1,-3.46,8.23,17.16,-4.16,0.01,0.02,0.01,0.01
   3.25.2 ของใช้ในเทศกาลอี่น ๆ,311.9,338.0,92.8,138.1,-21.71,8.40,-1.41,48.88,0.00,0.00,0.00,0.00
  3.26 นาฬิกาและส่วนประกอบ,"18,705.7","21,865.1","8,423.5","15,004.8",1.61,16.89,14.05,78.13,0.23,0.27,0.26,0.47
   3.26.1 นาฬิกา,"10,477.8","12,323.2","4,644.2","11,589.8",-7.44,17.61,11.04,149.56,0.13,0.15,0.14,0.36
   3.26.2 ส่วนประกอบนาฬิกา,"8,227.9","9,542.0","3,779.4","3,414.9",16.07,15.97,17.98,-9.64,0.10,0.12,0.11,0.11
  3.27 เลนซ์,"50,585.3","52,476.4","20,554.6","20,660.3",1.78,3.74,-0.95,0.51,0.63,0.65,0.62,0.64
   3.27.1 เลนซ์แว่นตา,"31,264.4","32,358.7","13,382.3","13,066.4",1.32,3.50,0.41,-2.36,0.39,0.40,0.41,0.41
    (1) เลนซ์ที่ทำด้วยกระจก,253.2,84.3,81.0,1.5,-3.88,-66.72,-2.34,-98.20,0.00,0.00,0.00,0.00
    (2) เลนซ์ที่ทำด้วยวัสดุอื่นๆ(เมตริกตัน),"31,011.2","32,274.4","13,301.3","13,065.0",1.36,4.07,0.43,-1.78,0.39,0.40,0.40,0.41
   3.27.2 เลนซ์สำหรับกล้องถ่ายรูปและเครื่องฉาย,"16,539.2","15,946.3","6,007.8","5,548.3",3.47,-3.58,-6.11,-7.65,0.21,0.20,0.18,0.17
   3.27.3 เลนซ์อื่นๆ,"2,781.7","4,171.4","1,164.5","2,045.5",-2.65,49.96,13.65,75.65,0.03,0.05,0.04,0.06
  3.28 กล้องถ่ายรูปและอุปกรณ์,"4,706.8","5,044.1","1,857.4","1,631.5",-3.55,7.16,3.37,-12.16,0.06,0.06,0.06,0.05
   3.28.1 กล้องถ่ายรูป(พันชิ้น),"2,364.9","2,373.9",893.6,645.9,26.58,0.38,7.98,-27.72,0.03,0.03,0.03,0.02
   3.28.2 เครื่องไฟแฟลชและหลอดไฟแฟลช(พันชิ้น),717.9,853.7,350.3,275.8,36.15,18.92,45.13,-21.26,0.01,0.01,0.01,0.01
   3.28.3 ส่วนประกอบและอุปกรณ์กล้องถ่ายรูป,"1,624.1","1,816.4",613.5,709.8,-34.63,11.85,-15.72,15.70,0.02,0.02,0.02,0.02
  3.29 เครื่องสำอาง สบู่ และผลิตภัณฑ์รักษาผิว,"83,036.8","98,482.6","39,833.6","46,332.1",-2.16,18.60,20.70,16.31,1.04,1.21,1.21,1.45
   3.29.1 เครื่องสำอาง เครื่องหอมและสบู่,"64,716.3","78,918.7","31,836.0","38,215.6",-1.73,21.95,24.95,20.04,0.81,0.97,0.97,1.19
    (1) สิ่งปรุงแต่งที่ใช้แต่งหน้า หรือบำรุงผิว,"13,049.5","23,008.5","9,182.7","14,167.3",3.91,76.32,90.98,54.28,0.16,0.28,0.28,0.44
    (2) สิ่งปรุงแต่งสำหรับใช้กับผม,"25,058.1","26,522.9","10,645.5","10,673.5",-6.94,5.85,8.09,0.26,0.31,0.33,0.32,0.33
    (3) สิ่งปรุงแต่งเพื่ออนามัยในช่องปากและฟัน,"10,081.5","10,069.3","4,374.5","4,145.9",1.84,-0.12,1.75,-5.23,0.13,0.12,0.13,0.13
    (4) สิ่งปรุงแต่งที่ใช้โกนหนวด อาบน้ำและดับกลิ่นตัว,"8,447.4","8,118.3","3,364.2","3,788.3",-2.57,-3.90,-1.91,12.61,0.11,0.10,0.10,0.12
    (5) สบู่,"7,824.6","8,717.4","3,210.9","3,494.6",2.88,11.41,6.22,8.84,0.10,0.11,0.10,0.11
    (6) หัวน้ำหอมและน้ำหอม,255.3,"2,482.2","1,058.3","1,946.0",32.29,872.37,"1,416.75",83.89,0.00,0.03,0.03,0.06
   3.29.2 วัตถุดิบเพื่อใช้ทำเครื่องสำอาง,"18,320.5","19,563.9","7,997.6","8,116.5",-3.67,6.79,6.31,1.49,0.23,0.24,0.24,0.25
    (1) เอสเซนเชียลออยล์,539.4,579.6,216.2,243.6,4.22,7.46,8.51,12.67,0.01,0.01,0.01,0.01
    (2) ของผสมของสารที่มีกลิ่นหอม,"2,216.8","2,438.7",986.7,"1,189.1",-39.31,10.01,13.23,20.51,0.03,0.03,0.03,0.04
    (3) สิ่งปรุงแต่งที่ใช้หล่อลื่น,"1,131.0","1,350.0",496.3,583.5,17.09,19.36,7.76,17.57,0.01,0.02,0.02,0.02
    (4) ไขเทียมและไขปรุงแต่ง,"1,975.1","2,176.1",880.5,892.0,-5.51,10.18,3.98,1.31,0.02,0.03,0.03,0.03
    (5) สารอินทรีย์ที่เป็นตัวลดแรงตึงผิว,"12,458.3","13,019.5","5,417.9","5,208.3",5.64,4.50,5.31,-3.87,0.16,0.16,0.16,0.16
  3.30 หมวกและส่วนประกอบ,"2,301.8","2,530.9","1,057.1",953.6,6.62,9.95,11.17,-9.79,0.03,0.03,0.03,0.03
  3.31 เครื่องมือแพทย์และอุปกรณ์,"21,320.3","21,976.2","8,484.6","9,142.2",3.69,3.08,-2.24,7.75,0.27,0.27,0.26,0.29
  3.32 ผลิตภัณฑ์เภสัชภัณฑ์,"17,308.4","17,888.6","6,791.5","7,488.6",5.62,3.35,0.61,10.26,0.22,0.22,0.21,0.23
  3.33 ปูนซิเมนต์,"18,858.2","20,675.4","8,283.2","9,361.4",-12.87,9.64,-2.37,13.02,0.24,0.25,0.25,0.29
  3.34 หนังสือและสิ่งพิมพ์,"2,299.4","2,645.0","1,147.2",928.7,-2.58,15.03,28.96,-19.05,0.03,0.03,0.03,0.03
  3.35 เครื่องถ่ายเอกสาร ส่วนประกอบและอุปกรณ์,"6,657.3","5,052.2","2,207.0","1,934.3",-41.53,-24.11,-32.88,-12.36,0.08,0.06,0.07,0.06
  3.36 แก้วและกระจก,"20,816.2","20,629.3","7,884.5","8,111.7",12.33,-0.90,3.77,2.88,0.26,0.25,0.24,0.25
   3.36.1 กระเปาะแก้วและส่วนประกอบใช้ทำหลอด,651.2,486.4,211.5,205.9,-12.01,-25.31,-42.37,-2.69,0.01,0.01,0.01,0.01
   3.36.2 โพล์ตกลาสและแก้วที่ขัดผิว,"3,452.7","4,332.2","1,780.1","1,644.9",9.73,25.47,47.29,-7.59,0.04,0.05,0.05,0.05
   3.36.3 กระจกนิรภัย กระจกรถยนต์,"5,205.7","5,210.3","2,160.0","2,101.8",-10.14,0.09,-1.78,-2.69,0.07,0.06,0.07,0.07
   3.36.4 แก้วและกระจกอื่นๆ,"11,506.6","10,600.4","3,732.8","4,159.0",30.00,-7.88,-2.36,11.42,0.14,0.13,0.11,0.13
  3.37 ผลิตภัณฑ์เบ็ดเตล็ด,"14,335.0","14,238.4","5,745.7","5,227.8",-7.94,-0.67,-1.50,-9.01,0.18,0.18,0.17,0.16
   3.37.1 แปรงสีฟัน,"1,837.0","1,652.2",706.7,698.2,-5.24,-10.06,-2.62,-1.21,0.02,0.02,0.02,0.02
   3.37.2 ปากกาและดินสอ,"2,317.6","2,425.7",996.2,990.6,-9.01,4.66,0.78,-0.57,0.03,0.03,0.03,0.03
   3.37.3 เทียนไข,565.1,591.9,191.1,195.1,-14.64,4.75,6.51,2.06,0.01,0.01,0.01,0.01
   3.37.4 ไฟแช็ค,"1,153.8",864.9,384.0,397.4,-7.71,-25.04,-23.67,3.50,0.01,0.01,0.01,0.01
   3.37.5 หวี กี๊บหนีบผม,658.5,744.1,289.1,317.3,-13.67,13.00,1.56,9.75,0.01,0.01,0.01,0.01
   3.37.6 กระติกสูญญากาศและส่วนประกอบ,"4,532.3","4,253.5","1,641.7","1,186.1",-10.20,-6.15,-10.34,-27.75,0.06,0.05,0.05,0.04
   3.37.7 แปรงและอุปกรณ์ทำความสะอาด,856.9,970.5,367.1,380.5,23.14,13.26,13.74,3.65,0.01,0.01,0.01,0.01
   3.37.8 ผลิตภัณฑ์เบ็ดเตล็ดอื่นๆ,"2,413.7","2,735.5","1,169.8","1,062.6",-9.52,13.33,17.23,-9.16,0.03,0.03,0.04,0.03
  3.38 ผลิตภัณฑ์สังกะสี,822.3,804.5,311.4,328.8,22.71,-2.16,-10.99,5.58,0.01,0.01,0.01,0.01
  3.39 กระดาษและผลิตภัณฑ์กระดาษ,"59,626.5","62,244.1","25,377.0","23,209.1",2.12,4.39,6.65,-8.54,0.74,0.77,0.77,0.72
   3.39.1 กระดาษใช้สำหรับเขียน พิมพ์ หรือวัตถุประสงค์อื่นทางกราฟิก,"21,392.2","20,697.0","9,275.3","8,405.5",4.45,-3.25,2.35,-9.38,0.27,0.26,0.28,0.26
   3.39.2 กระดาษคราฟท์,"1,823.5","1,643.4",637.2,465.9,66.56,-9.87,12.83,-26.89,0.02,0.02,0.02,0.01
   3.39.3 กระดาษแข็ง,"13,446.1","15,086.9","5,812.4","5,121.7",8.30,12.20,16.19,-11.88,0.17,0.19,0.18,0.16
   3.39.4 กระดาษชำระ กระดาษเช็ดหน้า กระดาษอนามัย,"9,935.6","10,845.5","4,459.0","4,251.1",-7.81,9.16,10.76,-4.66,0.12,0.13,0.14,0.13
   3.39.5 บรรจุภัณฑ์กระดาษ (หีบ กล่อง ซองฯ),"7,910.9","8,151.9","2,873.6","2,923.5",5.03,3.05,-7.13,1.74,0.10,0.10,0.09,0.09
   3.39.6 กระดาษและผลิตภัณฑ์กระดาษอื่นๆ,"5,118.3","5,819.3","2,319.5","2,041.4",-15.90,13.70,13.35,-11.99,0.06,0.07,0.07,0.06
  3.40 ร่ม,131.4,123.7,63.4,50.2,6.45,-5.84,33.17,-20.87,0.00,0.00,0.00,0.00
  3.41 แม่พิมพ์หุ่นแบบหล่อโลหะ,"6,222.3","5,751.6","2,369.4","2,125.1",1.21,-7.56,1.35,-10.31,0.08,0.07,0.07,0.07
  3.42 ของเบ็ดเตล็ดทำด้วยโลหะสามัญ,"29,256.9","29,137.0","11,781.6","11,109.4",-3.11,-0.41,-3.01,-5.71,0.37,0.36,0.36,0.35
   3.42.1 กุญแจสายยู,"5,823.0","6,424.2","2,455.4","2,098.6",10.52,10.33,10.78,-14.53,0.07,0.08,0.07,0.07
   3.42.2 อุปกรณ์สำหรับยึดติด ทำด้วยโลหะ,"16,820.4","15,779.2","6,483.0","6,307.9",-3.92,-6.19,-9.88,-2.70,0.21,0.19,0.20,0.20
   3.42.3 ตู้นิรภัยและตู้เอกสาร,605.5,492.9,207.7,208.2,-11.94,-18.61,-27.99,0.21,0.01,0.01,0.01,0.01
   3.42.4 รูปหล่อโลหะขนาดเล็ก,597.1,580.3,263.5,208.8,4.03,-2.81,15.93,-20.76,0.01,0.01,0.01,0.01
   3.42.5 จุกและฝาเกลียว,"3,572.5","3,897.4","1,622.3","1,537.7",-9.40,9.10,12.29,-5.21,0.04,0.05,0.05,0.05
   3.42.6 ของเบ็ดเตล็ดอื่น ๆ ทำด้วยโลหะสามัญ,"1,838.4","1,962.9",749.7,748.2,-17.09,6.77,-3.39,-0.20,0.02,0.02,0.02,0.02
  3.43 เครื่องจักรกลและส่วนประกอบของเครื่องจักรกล,"256,241.5","262,831.5","107,390.6","95,312.6",5.12,2.57,5.40,-11.25,3.20,3.24,3.26,2.97
   3.43.1 เครื่องจักรใช้ในการแปรรูปยางหรือพลาสติก,"4,741.6","4,926.8","1,838.5","1,832.6",6.18,3.91,-3.40,-0.32,0.06,0.06,0.06,0.06
   3.43.2 เครื่องจักรสิ่งทอ,"5,119.4","5,303.8","2,084.7","1,950.0",11.62,3.60,3.82,-6.46,0.06,0.07,0.06,0.06
   3.43.3 ลิฟต์ บันไดเลื่อน และเครื่องจักรสำหรับลำเลียงขนย้าย,"12,335.8","13,639.5","5,986.1","5,051.9",-10.33,10.57,26.91,-15.61,0.15,0.17,0.18,0.16
   3.43.4 เครื่องจักรใช้ในอุตสาหกรรมการพิมพ์,"3,329.5","2,844.0","1,082.0","1,292.4",-42.54,-14.58,-22.66,19.45,0.04,0.04,0.03,0.04
   3.43.5 เครื่องสูบเชื้อเพลิง ของเหลว และเครื่องสูบลม,"49,685.0","58,707.1","26,502.6","20,886.2",-8.61,18.16,35.02,-21.19,0.62,0.72,0.80,0.65
   3.43.6 บอยเลอร์,812.7,626.8,299.5,452.8,-33.55,-22.88,-47.50,51.20,0.01,0.01,0.01,0.01
   3.43.7 เครื่องกังหันไอพ่นและกังหันอื่น ๆ,"15,611.5","12,163.5","4,707.5","4,674.7",-6.54,-22.09,-43.97,-0.70,0.19,0.15,0.14,0.15
   3.43.8 เครื่องจักรที่ใช้กรอง แยกของเหลวหรือก๊าซ,"28,732.1","20,582.0","8,136.4","8,564.1",46.74,-28.37,1.82,5.26,0.36,0.25,0.25,0.27
   3.43.9 เครื่องจักรที่ใช้ในการก่อสร้างและส่วนประกอบ,"39,126.4","47,266.0","18,628.1","15,455.7",27.11,20.80,29.92,-17.03,0.49,0.58,0.57,0.48
   3.43.10 เพลาส่งกำลังและข้อเหวี่ยง,"12,047.2","13,052.3","5,198.8","5,042.7",8.24,8.34,8.57,-3.00,0.15,0.16,0.16,0.16
   3.43.11 เครื่องวัดรอบ เครื่องบอกความเร็วและอุปกรณ์,"6,758.1","7,805.4","3,129.5","3,009.3",26.48,15.50,12.36,-3.84,0.08,0.10,0.10,0.09
   3.43.12 เครื่องจักรกลและส่วนประกอบอื่น ๆ,"77,942.2","75,914.3","29,796.9","27,100.2",2.53,-2.60,-10.67,-9.05,0.97,0.94,0.90,0.85
  3.44 อากาศยาน ยานอวกาศ และส่วนประกอบ(เมตริกตัน),"42,946.9","29,989.5","12,782.6","10,012.6",182.83,-30.17,-35.88,-21.67,0.54,0.37,0.39,0.31
  3.45 เครื่องดนตรีและส่วนประกอบ,727.4,730.0,301.9,279.8,-5.17,0.35,-0.61,-7.30,0.01,0.01,0.01,0.01
  3.46 อาวุธ กระสุน รวมทั้งส่วนประกอบ,"1,334.7",469.7,249.1,"59,863.8",100.30,-64.81,-78.13,"23,933.70",0.02,0.01,0.01,1.87
  3.47 ทองแดงและของทำด้วยทองแดง,"63,434.7","67,900.4","27,188.9","28,055.3",36.31,7.04,5.39,3.19,0.79,0.84,0.83,0.88
   3.47.1 หลอดหรือท่อและอุปกรณ์ติดตั้งของหลอดหรือท่อทองแดง,"9,342.4","10,902.1","4,754.3","4,750.6",-5.77,16.69,24.07,-0.08,0.12,0.13,0.14,0.15
   3.47.2 ฟอยล์ทำด้วยทองแดง,"4,658.1","1,954.7",810.0,741.3,149.07,-58.04,-77.58,-8.48,0.06,0.02,0.02,0.02
   3.47.3 ท่อนและเส้นทำด้วยทองแดง,"6,533.0","7,671.0","3,184.1","2,770.8",18.00,17.42,26.01,-12.98,0.08,0.09,0.10,0.09
   3.47.4 เศษและของที่ใช้ไม่ได้ที่เป็นทองแดง,"13,389.9","15,695.5","6,276.9","5,755.2",42.03,17.22,32.99,-8.31,0.17,0.19,0.19,0.18
   3.47.5 ทองแดงและของทำด้วยทองแดงอื่น ๆ,"29,511.2","31,677.1","12,163.6","14,037.5",49.12,7.34,9.50,15.41,0.37,0.39,0.37,0.44
  3.48 สินค้าอุตสาหกรรมอื่น ๆ,"231,862.4","203,569.4","77,405.5","74,772.2",-3.16,-12.20,-10.55,-3.40,2.90,2.51,2.35,2.33
 4. สินค้าแร่และเชื้อเพลิง,"292,697.0","356,305.3","134,724.6","121,213.6",24.68,21.73,22.63,-10.03,3.66,4.39,4.09,3.78
  4.1 ดีบุก,2.9,0.7,0.6,1.9,-55.55,-77.17,254.68,210.97,0.00,0.00,0.00,0.00
  4.2 แร่ยิบซัม,"6,094.6","5,914.0","2,509.3","2,309.7",-9.97,-2.96,-1.82,-7.95,0.08,0.07,0.08,0.07
  4.3 ก๊าซปิโตรเลียมเหลว,"4,356.7","7,007.3","2,904.2","2,068.8",220.03,60.84,108.57,-28.76,0.05,0.09,0.09,0.06
  4.4 ก๊าซธรรมชาติ,15.2,2.9,0.4,1.6,310.02,-81.14,-94.93,294.09,0.00,0.00,0.00,0.00
  4.5 สังกะสี,19.0,22.2,6.8,4.3,64.87,16.56,49.72,-35.97,0.00,0.00,0.00,0.00
  4.6 ตะกั่ว,0.1,0.0,0.0,0.1,"24,900.00",-93.47,,,0.00,0.00,0.00,0.00
  4.7 เฟลค์สปาร์,781.5,862.0,377.7,300.5,23.58,10.29,16.32,-20.44,0.01,0.01,0.01,0.01
  4.8 แบไรท์,290.6,149.9,55.4,47.3,-28.37,-48.42,-68.63,-14.62,0.00,0.00,0.00,0.00
  4.9 ฟลูออร์สปาร์,172.9,177.6,93.5,58.0,-18.76,2.71,48.49,-37.97,0.00,0.00,0.00,0.00
  4.10 สเตอวีไรต์,10.7,,,,,,,,0.00,,,
  4.11 น้ำมันดิบ(พันลิตร),"23,157.6","26,243.9","11,595.3","8,313.6",34.52,13.33,12.63,-28.30,0.29,0.32,0.35,0.26
  4.12 น้ำมันสำเร็จรูป,"242,352.1","298,921.3","109,816.0","100,059.9",25.39,23.34,23.70,-8.88,3.03,3.69,3.33,3.12
   4.12.1 น้ำมันเบนซิน(พันลิตร),"1,058.6","1,210.0",573.9,270.3,-94.52,14.29,17.10,-52.91,0.01,0.01,0.02,0.01
   4.12.2 น้ำมันดีเซล(พันลิตร),"81,771.8","104,092.8","34,176.8","33,527.3",21.85,27.30,43.99,-1.90,1.02,1.28,1.04,1.05
   4.12.3 น้ำมันก๊าด(พันลิตร),"10,774.3","17,841.6","5,298.3","6,558.7",61.24,65.59,71.18,23.79,0.13,0.22,0.16,0.20
   4.12.4 น้ำมันสำเร็จรูปอื่น ๆ(พันลิตร),"112,471.7","141,727.2","55,530.4","49,626.2",49.02,26.01,20.75,-10.63,1.40,1.75,1.69,1.55
   4.12.5 ปิโตรเลียมบิทูเมนและกากอื่น ๆ,"3,535.5","5,032.9","1,930.9","2,037.3",57.87,42.35,59.24,5.51,0.04,0.06,0.06,0.06
   4.12.6 น้ำมันที่กลั่นจากทาร์ของถ่านหิน,"32,740.1","29,016.9","12,305.6","8,040.2",45.75,-11.37,-13.66,-34.66,0.41,0.36,0.37,0.25
  4.13 สินค้าแร่และเชื้อเพลิงอื่น ๆ,"15,443.1","17,003.7","7,365.5","8,047.9",3.95,10.11,17.48,9.27,0.19,0.21,0.22,0.25
 5. อื่น ๆ (ธุรกรรมพิเศษ เช่น ของที่ออกไปกับตน),0.0,0.0,0.0,0.0,-100.00,,,,0.00,0.00,0.00,0.00
  ที่มา : ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร สำนักงานปลัดกระทรวงพาณิชย์ โดยความร่วมมือจากกรมศุลกากร,,,,,,,,,,,,
